Variant;M;N;Schedule;BlockSize;Time_sec;Speed_M_per_sec
k1;2;100000000;static;0;140.785873;0.710
k2;2;100000000;static;0;17.005852;5.880
k3;2;100000000;static;0;1.378189;72.559
k3a;2;100000000;static;32768;0.306043;326.752
k4;2;100000000;static;0;1.051457;95.106
k4a;2;100000000;static;0;1.577677;63.384
k5;2;100000000;static;32768;0.048752;2051.201
k1;50000000;100000000;static;0;96.669460;0.517
k2;50000000;100000000;static;0;9.285555;5.385
k3;50000000;100000000;static;0;0.667400;74.918
k3a;50000000;100000000;static;32768;0.170209;293.757
k4;50000000;100000000;static;0;0.495158;100.978
k4a;50000000;100000000;static;0;0.814118;61.416
k5;50000000;100000000;static;32768;0.034121;1465.373
k1;2;50000000;static;0;46.432527;1.077
k2;2;50000000;static;0;5.331306;9.379
k3;2;50000000;static;0;0.629106;79.478
k3a;2;50000000;static;32768;0.133187;375.413
k4;2;50000000;static;0;0.434264;115.137
k4a;2;50000000;static;0;0.773082;64.676
k5;2;50000000;static;32768;0.043184;1157.826

k2;2;100000000;static,1024;0;13.959823;7.163
k4;2;100000000;static,1024;0;1.085143;92.154
k4a;2;100000000;static,1024;0;1.555139;64.303
k2;2;100000000;dynamic,1024;0;12.053004;8.297
k4;2;100000000;dynamic,1024;0;1.075256;93.001
k4a;2;100000000;dynamic,1024;0;1.527935;65.448
k2;2;100000000;guided;0;12.102715;8.263
k4;2;100000000;guided;0;0.990039;101.006
k4a;2;100000000;guided;0;1.558402;64.168

k3a;2;100000000;static;16384;0.404813;247.027
k5;2;100000000;static;16384;0.056255;1777.617
k3a;2;100000000;static;65536;0.352380;283.785
k5;2;100000000;static;65536;0.078080;1280.733
k3a;2;100000000;static;262144;0.377310;265.034
k5;2;100000000;static;262144;0.098440;1015.847
k3a;2;100000000;static;1048576;0.415121;240.894
k5;2;100000000;static;1048576;0.115852;863.171

k5;2;100000000;static,1024;32768;0.125554;796.471
k5;2;100000000;dynamic,1024;32768;0.133078;751.439
k5;2;100000000;guided;32768;0.045836;2181.671
